bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed
866000,GLENS FALLS NATIONAL BANK AND TRUST COMPANY,1,2022-01-20,2022-01-20,0.01828029684375552,0.0005129411052250765,0.6532968760745124,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.2718974198057366,14.969272429306587,0.011812576022934321,0.003685397113479235,0.0923120309290318,0.9746475016064912,False
766164,"TBK BANK, SSB",1,2022-01-20,2022-01-20,-0.22041973178005575,0.0021530883928066223,1.397464039083854,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.36131946909992324,15.597715359720748,0.02056320561607082,0.011140282831880411,0.15787694484805093,0.9398602231386514,False
403179,FIRST FED BANK,1,2022-01-20,2022-01-20,0.03452630578984597,0.0006624847272950123,0.24154666933876437,200,False,0.1231,0.0243,65,2021-12-31,False,051,0.2968078583463774,14.466496827221468,0.00876380949301435,0.0010187137421702847,0.10360737883136342,0.933699719159795,False
917742,"ASSOCIATED BANK, NATIONAL ASSOCIATION",1,2022-01-20,2022-01-20,0.02029801411645844,0.0002193942344328199,1.1755388458374962,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.5583767331190419,17.37250323775589,0.010302984439127038,0.005588429029685135,0.11277041169578907,0.9164106665130323,False
3650808,LIVE OAK BANKING COMPANY,1,2022-01-20,2022-01-20,-0.23041057300291035,0.001829233055423405,1.8106421293122352,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.16589238008502435,15.91173436140157,0.01752097717245551,0.012207242149145927,0.08191591528913607,0.9536653834469612,False
139656,EQUITY BANK,1,2022-01-20,2022-01-20,0.0162466993585028,0.0011793609789668277,0.8944888857548382,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.3410116336294362,15.452772175996953,0.011857643697656831,0.009372623495929067,0.11175820918283191,0.9744914885859348,False
422433,FIRST GUARANTY BANK,1,2022-01-20,2022-01-20,0.03984305268590265,0.00144350050860502,0.5308881955219746,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.49959813732518205,14.871334684359386,0.010240601069531367,0.009651012175372413,0.08881716621850629,0.9933498838511033,False
3532641,SMARTBANK,1,2022-01-20,2022-01-20,0.014150637771515954,0.00067623063926056,0.7472766443537732,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.32229360581255523,15.342913345846565,0.008145763599393686,0.0019066140794463296,0.10047071359068803,0.9737998411936062,False
2941068,NICOLET NATIONAL BANK,1,2022-01-20,2022-01-20,0.10362559121496635,-0.0003169490551106904,0.9011931089721105,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.3082105177104291,15.854950992062292,0.007450652179258518,0.009146498720538358,0.12916931368991635,0.9868465872420173,False
773247,MIDLAND STATES BANK,1,2022-01-20,2022-01-20,0.00552386021490156,8.958396266668527e-05,0.7571355876644972,200,False,0.1231,0.0243,65,2021-12-31,False,041,0.41580004283987726,15.82160718244374,0.011795015551013808,0.006766223175222714,0.10872433262194048,0.9279376766442412,False
