bank_IDRSSD,name,doc_id,event_date,t0,CAR,alpha,beta,n_est,delisted_flag,S,S_norm,n_design,char_quarter,char_lookahead,filing_type,uninsured_share,size,ROA,NPL_ratio,equity_ratio,deposit_reliance,failed,score_rf,is_trust_or_specialized,score_ols
837000,"FIRST NATIONAL BANK OF LONG ISLAND, THE",4,2022-05-26,2022-05-26,0.0051226238545777,-0.0001904565682639,0.4183765907935273,200,False,1.0,0.0889,4,2022-03-31,False,41,0.5184391226798434,15.24816379673703,0.0118936436360581,0.0003827884667539,0.090942028034267,0.9319531971628852,False,-0.0209473840040695,False,-0.0106820358617879
510871,FIRSTBANK PUERTO RICO,4,2022-05-26,2022-05-26,0.0225494302955638,0.0006809782564502,1.2245299519635704,200,False,1.0,0.0889,4,2022-03-31,False,31,0.4615915477504964,16.807264528554633,0.0162952988545721,0.0202980330966122,0.0966918553424516,0.9654275852981864,False,-0.0182056510092615,False,-0.0264761108037157
245276,ORIENTAL BANK,4,2022-05-26,2022-05-26,-0.0140807500648447,0.0010059474760947,0.9505387340579216,200,False,1.0,0.0889,4,2022-03-31,False,41,0.3483954295258567,16.13274009571452,0.0146297785804258,0.0230683122912473,0.0978820247938363,0.9831326654185776,False,-0.0174995369123359,False,-0.0214603033573476
216922,FIRST BANK,4,2022-05-26,2022-05-26,-0.0242369524980005,-5.167417166608648e-05,0.8402745962285886,200,False,1.0,0.0889,4,2022-03-31,False,41,0.3613242638885037,16.181974266906348,0.0130034532155431,0.0055087257161672,0.109397793356805,0.9914439263116092,False,-0.0055768569438161,False,-0.0091360140557879
645625,"WESBANCO BANK, INC.",4,2022-05-26,2022-05-26,-0.0096882519306985,-2.352382402439008e-05,0.8154726452230774,200,False,1.0,0.0889,4,2022-03-31,False,41,0.3097498625833477,16.652462317195184,0.0106267865439513,0.0040764918237396,0.1486995296205881,0.96811014385482,False,-0.0161982088105179,False,-0.008228581129112
365325,UNITED BANK,4,2022-05-26,2022-05-26,-0.0295518260187097,-0.0001572848415828,0.8982906221152928,200,False,1.0,0.0889,4,2022-03-31,False,41,0.3682235464682025,17.194266776453972,0.0113498675593111,0.0033546646013378,0.1590809014018862,0.9620259891970182,False,-0.0197593159230139,False,-0.0140776244579743
816603,"WASHINGTON TRUST COMPANY, OF WESTERLY, THE",4,2022-05-26,2022-05-26,0.0043595211774004,3.741672344963781e-05,0.6208829354936071,200,False,1.0,0.0889,4,2022-03-31,False,41,0.2946516435783184,15.581484417498189,0.0114583504353489,0.0029371761989418,0.089350677513449,0.9652597737345222,False,-0.0137346408651125,False,-0.0079113347521507
130541,HORIZON BANK,4,2022-05-26,2022-05-26,-0.0170772696913424,0.000567983231031,0.7471550685672289,200,False,1.0,0.0889,4,2022-03-31,False,41,0.4211692617078368,15.81080933153168,0.0134112911998259,0.0053376889675575,0.1013881485913194,0.8932857358372255,False,0.0062539149106294,False,0.0157748389957609
701062,CENTRAL PACIFIC BANK,4,2022-05-26,2022-05-26,-0.0107106980787283,0.0003951457555709,0.7633764974747319,200,False,1.0,0.0889,4,2022-03-31,False,41,0.3719776358812818,15.801506430558874,0.0113681841263741,0.001285834925825,0.0784177154385627,0.9850554180085258,False,-0.0108087492314031,False,-0.014432790203365
802866,SILICON VALLEY BANK,4,2022-05-26,2022-05-26,0.0266070145287493,-5.643093328689579e-05,2.0203497567565134,200,False,1.0,0.0889,4,2022-03-31,False,31,0.8435787919007655,19.1991061337674,0.0094396797120346,0.0010631480834207,0.0668995978035297,0.9861292211402676,True,0.0358832043325153,False,0.0315062153011363
509811,"COMMUNITY TRUST BANK, INC.",4,2022-05-26,2022-05-26,-0.0315914775872474,0.0001267696883105,0.5081848867107414,200,False,1.0,0.0889,4,2022-03-31,False,41,0.2525765008344071,15.503818613964157,0.0141788312297297,0.0038919886441494,0.1236239489760215,0.9360972980132338,False,-0.0195206761466614,False,-0.0348608925225716
